Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C-0402",3.100000,-3.700000,90.000000,top
"C2","100nF","C-0402",-4.000000,2.700000,0.000000,top
"C3","100nF","C-0402",4.900000,-1.200000,180.000000,top
"C4","10uF","C-0402",-4.000000,3.550000,0.000000,top
"D1","LED","XL-1005SURC",0.000000,-11.000000,-90.000000,top
"D2","LED","XL-1005SURC",0.767300,-10.973200,-86.000000,top
"D3","LED","XL-1005SURC",1.530900,-10.892900,-82.000000,top
"D4","LED","XL-1005SURC",2.287000,-10.759600,-78.000000,top
"D5","LED","XL-1005SURC",3.032000,-10.573900,-74.000000,top
"D6","LED","XL-1005SURC",3.762200,-10.336600,-70.000000,top
"D7","LED","XL-1005SURC",4.474100,-10.049000,-66.000000,top
"D8","LED","XL-1005SURC",5.164200,-9.712400,-62.000000,top
"D9","LED","XL-1005SURC",5.829100,-9.328500,-58.000000,top
"D10","LED","XL-1005SURC",6.465600,-8.899200,-54.000000,top
"D11","LED","XL-1005SURC",7.070700,-8.426500,-50.000000,top
"D12","LED","XL-1005SURC",7.641200,-7.912700,-46.000000,top
"D13","LED","XL-1005SURC",8.174600,-7.360400,-42.000000,top
"D14","LED","XL-1005SURC",8.668100,-6.772300,-38.000000,top
"D15","LED","XL-1005SURC",9.119400,-6.151100,-34.000000,top
"D16","LED","XL-1005SURC",9.526300,-5.500000,-30.000000,top
"D17","LED","XL-1005SURC",9.886700,-4.822100,-26.000000,top
"D18","LED","XL-1005SURC",10.199000,-4.120700,-22.000000,top
"D19","LED","XL-1005SURC",10.461600,-3.399200,-18.000000,top
"D20","LED","XL-1005SURC",10.673300,-2.661100,-14.000000,top
"D21","LED","XL-1005SURC",10.832900,-1.910100,-10.000000,top
"D22","LED","XL-1005SURC",10.939700,-1.149800,-6.000000,top
"D23","LED","XL-1005SURC",10.993300,-0.383900,-2.000000,top
"D24","LED","XL-1005SURC",10.993300,0.383900,2.000000,top
"D25","LED","XL-1005SURC",10.939700,1.149800,6.000000,top
"D26","LED","XL-1005SURC",10.832900,1.910100,10.000000,top
"D27","LED","XL-1005SURC",10.673300,2.661100,14.000000,top
"D28","LED","XL-1005SURC",10.461600,3.399200,18.000000,top
"D29","LED","XL-1005SURC",10.199000,4.120700,22.000000,top
"D30","LED","XL-1005SURC",9.886700,4.822100,26.000000,top
"D31","LED","XL-1005SURC",9.526300,5.500000,30.000000,top
"D32","LED","XL-1005SURC",9.119400,6.151100,34.000000,top
"D33","LED","XL-1005SURC",8.668100,6.772300,38.000000,top
"D34","LED","XL-1005SURC",8.174600,7.360400,42.000000,top
"D35","LED","XL-1005SURC",7.641200,7.912700,46.000000,top
"D36","LED","XL-1005SURC",7.070700,8.426500,50.000000,top
"D37","LED","XL-1005SURC",6.465600,8.899200,54.000000,top
"D38","LED","XL-1005SURC",5.829100,9.328500,58.000000,top
"D39","LED","XL-1005SURC",5.164200,9.712400,62.000000,top
"D40","LED","XL-1005SURC",4.474100,10.049000,66.000000,top
"D41","LED","XL-1005SURC",3.762200,10.336600,70.000000,top
"D42","LED","XL-1005SURC",3.032000,10.573900,74.000000,top
"D43","LED","XL-1005SURC",2.287000,10.759600,78.000000,top
"D44","LED","XL-1005SURC",1.530900,10.892900,82.000000,top
"D45","LED","XL-1005SURC",0.767300,10.973200,86.000000,top
"D46","LED","XL-1005SURC",0.000000,11.000000,90.000000,top
"D47","LED","XL-1005SURC",-0.767300,10.973200,94.000000,top
"D48","LED","XL-1005SURC",-1.530900,10.892900,98.000000,top
"D49","LED","XL-1005SURC",-2.287000,10.759600,102.000000,top
"D50","LED","XL-1005SURC",-3.032000,10.573900,106.000000,top
"D51","LED","XL-1005SURC",-3.762200,10.336600,110.000000,top
"D52","LED","XL-1005SURC",-4.474100,10.049000,114.000000,top
"D53","LED","XL-1005SURC",-5.164200,9.712400,118.000000,top
"D54","LED","XL-1005SURC",-5.829100,9.328500,122.000000,top
"D55","LED","XL-1005SURC",-6.465600,8.899200,126.000000,top
"D56","LED","XL-1005SURC",-7.070700,8.426500,130.000000,top
